orderNumber,orderLineNumber,customerNumber,EmployeeNumber,productCode,status,quantityOrdered,priceEach,sales_amount,origin,complete_order_number,checkNumber,paymentDate,amount
10100,1,363,1216,S24_3969,Shipped,49,35.29,1729.21,spain,10100-1,HL575273,2004-11-17,50799.69
10100,1,363,1216,S24_3969,Shipped,49,35.29,1729.21,spain,10100-1,IS232033,2003-01-16,10223.83
10100,1,363,1216,S24_3969,Shipped,49,35.29,1729.21,spain,10100-1,PN238558,2003-12-05,55425.77
10100,2,363,1216,S18_2248,Shipped,50,55.09,2754.5,spain,10100-2,HL575273,2004-11-17,50799.69
10100,2,363,1216,S18_2248,Shipped,50,55.09,2754.5,spain,10100-2,IS232033,2003-01-16,10223.83
10100,2,363,1216,S18_2248,Shipped,50,55.09,2754.5,spain,10100-2,PN238558,2003-12-05,55425.77
10100,3,363,1216,S18_1749,Shipped,30,136.0,4080.0,spain,10100-3,HL575273,2004-11-17,50799.69
10100,3,363,1216,S18_1749,Shipped,30,136.0,4080.0,spain,10100-3,IS232033,2003-01-16,10223.83
10100,3,363,1216,S18_1749,Shipped,30,136.0,4080.0,spain,10100-3,PN238558,2003-12-05,55425.77
10100,4,363,1216,S18_4409,Shipped,22,75.46,1660.12,spain,10100-4,HL575273,2004-11-17,50799.69
10100,4,363,1216,S18_4409,Shipped,22,75.46,1660.12,spain,10100-4,IS232033,2003-01-16,10223.83
10100,4,363,1216,S18_4409,Shipped,22,75.46,1660.12,spain,10100-4,PN238558,2003-12-05,55425.77
10101,1,128,1504,S18_2795,Shipped,26,167.06,4343.56,spain,10101-1,DI925118,2003-01-28,10549.01
10101,1,128,1504,S18_2795,Shipped,26,167.06,4343.56,spain,10101-1,FA465482,2003-10-18,24101.81
10101,1,128,1504,S18_2795,Shipped,26,167.06,4343.56,spain,10101-1,FH668230,2004-03-24,33820.62
10101,1,128,1504,S18_2795,Shipped,26,167.06,4343.56,spain,10101-1,IP383901,2004-11-18,7466.32
10101,2,128,1504,S24_2022,Shipped,46,44.35,2040.1,spain,10101-2,DI925118,2003-01-28,10549.01
10101,2,128,1504,S24_2022,Shipped,46,44.35,2040.1,spain,10101-2,FA465482,2003-10-18,24101.81
10101,2,128,1504,S24_2022,Shipped,46,44.35,2040.1,spain,10101-2,FH668230,2004-03-24,33820.62
10101,2,128,1504,S24_2022,Shipped,46,44.35,2040.1,spain,10101-2,IP383901,2004-11-18,7466.32
10101,3,128,1504,S24_1937,Shipped,45,32.53,1463.85,spain,10101-3,DI925118,2003-01-28,10549.01
10101,3,128,1504,S24_1937,Shipped,45,32.53,1463.85,spain,10101-3,FA465482,2003-10-18,24101.81
10101,3,128,1504,S24_1937,Shipped,45,32.53,1463.85,spain,10101-3,FH668230,2004-03-24,33820.62
10101,3,128,1504,S24_1937,Shipped,45,32.53,1463.85,spain,10101-3,IP383901,2004-11-18,7466.32
10101,4,128,1504,S18_2325,Shipped,25,108.06,2701.5,spain,10101-4,DI925118,2003-01-28,10549.01
10101,4,128,1504,S18_2325,Shipped,25,108.06,2701.5,spain,10101-4,FA465482,2003-10-18,24101.81
10101,4,128,1504,S18_2325,Shipped,25,108.06,2701.5,spain,10101-4,FH668230,2004-03-24,33820.62
10101,4,128,1504,S18_2325,Shipped,25,108.06,2701.5,spain,10101-4,IP383901,2004-11-18,7466.32
10102,1,181,1286,S18_1367,Shipped,41,43.13,1768.33,spain,10102-1,CM564612,2004-04-25,22602.36
10102,1,181,1286,S18_1367,Shipped,41,43.13,1768.33,spain,10102-1,GQ132144,2003-01-30,5494.78
10102,1,181,1286,S18_1367,Shipped,41,43.13,1768.33,spain,10102-1,OH367219,2004-11-16,44400.5
10102,2,181,1286,S18_1342,Shipped,39,95.55,3726.45,spain,10102-2,CM564612,2004-04-25,22602.36
10102,2,181,1286,S18_1342,Shipped,39,95.55,3726.45,spain,10102-2,GQ132144,2003-01-30,5494.78
10102,2,181,1286,S18_1342,Shipped,39,95.55,3726.45,spain,10102-2,OH367219,2004-11-16,44400.5
10103,1,121,1504,S24_2300,Shipped,36,107.34,3864.24,spain,10103-1,DB889831,2003-02-16,50218.95
10103,1,121,1504,S24_2300,Shipped,36,107.34,3864.24,spain,10103-1,FD317790,2003-10-28,1491.38
10103,1,121,1504,S24_2300,Shipped,36,107.34,3864.24,spain,10103-1,KI831359,2004-11-04,17876.32
10103,1,121,1504,S24_2300,Shipped,36,107.34,3864.24,spain,10103-1,MA302151,2004-11-28,34638.14
10103,2,121,1504,S18_2432,Shipped,22,58.34,1283.48,spain,10103-2,DB889831,2003-02-16,50218.95
10103,2,121,1504,S18_2432,Shipped,22,58.34,1283.48,spain,10103-2,FD317790,2003-10-28,1491.38
10103,2,121,1504,S18_2432,Shipped,22,58.34,1283.48,spain,10103-2,KI831359,2004-11-04,17876.32
10103,2,121,1504,S18_2432,Shipped,22,58.34,1283.48,spain,10103-2,MA302151,2004-11-28,34638.14
10103,3,121,1504,S32_1268,Shipped,31,92.46,2866.26,spain,10103-3,DB889831,2003-02-16,50218.95
10103,3,121,1504,S32_1268,Shipped,31,92.46,2866.26,spain,10103-3,FD317790,2003-10-28,1491.38
10103,3,121,1504,S32_1268,Shipped,31,92.46,2866.26,spain,10103-3,KI831359,2004-11-04,17876.32
10103,3,121,1504,S32_1268,Shipped,31,92.46,2866.26,spain,10103-3,MA302151,2004-11-28,34638.14
10103,4,121,1504,S10_4962,Shipped,42,119.67,5026.14,spain,10103-4,DB889831,2003-02-16,50218.95
10103,4,121,1504,S10_4962,Shipped,42,119.67,5026.14,spain,10103-4,FD317790,2003-10-28,1491.38
10103,4,121,1504,S10_4962,Shipped,42,119.67,5026.14,spain,10103-4,KI831359,2004-11-04,17876.32
10103,4,121,1504,S10_4962,Shipped,42,119.67,5026.14,spain,10103-4,MA302151,2004-11-28,34638.14
10103,5,121,1504,S18_4600,Shipped,36,98.07,3530.52,spain,10103-5,DB889831,2003-02-16,50218.95
10103,5,121,1504,S18_4600,Shipped,36,98.07,3530.52,spain,10103-5,FD317790,2003-10-28,1491.38
10103,5,121,1504,S18_4600,Shipped,36,98.07,3530.52,spain,10103-5,KI831359,2004-11-04,17876.32
10103,5,121,1504,S18_4600,Shipped,36,98.07,3530.52,spain,10103-5,MA302151,2004-11-28,34638.14
10103,6,121,1504,S700_2824,Shipped,42,94.07,3950.94,spain,10103-6,DB889831,2003-02-16,50218.95
10103,6,121,1504,S700_2824,Shipped,42,94.07,3950.94,spain,10103-6,FD317790,2003-10-28,1491.38
10103,6,121,1504,S700_2824,Shipped,42,94.07,3950.94,spain,10103-6,KI831359,2004-11-04,17876.32
10103,6,121,1504,S700_2824,Shipped,42,94.07,3950.94,spain,10103-6,MA302151,2004-11-28,34638.14
10103,7,121,1504,S32_3522,Shipped,45,63.35,2850.75,spain,10103-7,DB889831,2003-02-16,50218.95
10103,7,121,1504,S32_3522,Shipped,45,63.35,2850.75,spain,10103-7,FD317790,2003-10-28,1491.38
10103,7,121,1504,S32_3522,Shipped,45,63.35,2850.75,spain,10103-7,KI831359,2004-11-04,17876.32
10103,7,121,1504,S32_3522,Shipped,45,63.35,2850.75,spain,10103-7,MA302151,2004-11-28,34638.14
10103,8,121,1504,S12_1666,Shipped,27,121.64,3284.28,spain,10103-8,DB889831,2003-02-16,50218.95
10103,8,121,1504,S12_1666,Shipped,27,121.64,3284.28,spain,10103-8,FD317790,2003-10-28,1491.38
10103,8,121,1504,S12_1666,Shipped,27,121.64,3284.28,spain,10103-8,KI831359,2004-11-04,17876.32
10103,8,121,1504,S12_1666,Shipped,27,121.64,3284.28,spain,10103-8,MA302151,2004-11-28,34638.14
10103,9,121,1504,S18_4668,Shipped,41,40.75,1670.75,spain,10103-9,DB889831,2003-02-16,50218.95
10103,9,121,1504,S18_4668,Shipped,41,40.75,1670.75,spain,10103-9,FD317790,2003-10-28,1491.38
10103,9,121,1504,S18_4668,Shipped,41,40.75,1670.75,spain,10103-9,KI831359,2004-11-04,17876.32
10103,9,121,1504,S18_4668,Shipped,41,40.75,1670.75,spain,10103-9,MA302151,2004-11-28,34638.14
10103,10,121,1504,S18_1097,Shipped,35,94.5,3307.5,spain,10103-10,DB889831,2003-02-16,50218.95
10103,10,121,1504,S18_1097,Shipped,35,94.5,3307.5,spain,10103-10,FD317790,2003-10-28,1491.38
10103,10,121,1504,S18_1097,Shipped,35,94.5,3307.5,spain,10103-10,KI831359,2004-11-04,17876.32
10103,10,121,1504,S18_1097,Shipped,35,94.5,3307.5,spain,10103-10,MA302151,2004-11-28,34638.14
10103,11,121,1504,S10_1949,Shipped,26,214.3,5571.8,spain,10103-11,DB889831,2003-02-16,50218.95
10103,11,121,1504,S10_1949,Shipped,26,214.3,5571.8,spain,10103-11,FD317790,2003-10-28,1491.38
10103,11,121,1504,S10_1949,Shipped,26,214.3,5571.8,spain,10103-11,KI831359,2004-11-04,17876.32
10103,11,121,1504,S10_1949,Shipped,26,214.3,5571.8,spain,10103-11,MA302151,2004-11-28,34638.14
10103,12,121,1504,S18_2949,Shipped,27,92.19,2489.13,spain,10103-12,DB889831,2003-02-16,50218.95
10103,12,121,1504,S18_2949,Shipped,27,92.19,2489.13,spain,10103-12,FD317790,2003-10-28,1491.38
10103,12,121,1504,S18_2949,Shipped,27,92.19,2489.13,spain,10103-12,KI831359,2004-11-04,17876.32
10103,12,121,1504,S18_2949,Shipped,27,92.19,2489.13,spain,10103-12,MA302151,2004-11-28,34638.14
10103,13,121,1504,S18_3136,Shipped,25,86.92,2173.0,spain,10103-13,DB889831,2003-02-16,50218.95
10103,13,121,1504,S18_3136,Shipped,25,86.92,2173.0,spain,10103-13,FD317790,2003-10-28,1491.38
10103,13,121,1504,S18_3136,Shipped,25,86.92,2173.0,spain,10103-13,KI831359,2004-11-04,17876.32
10103,13,121,1504,S18_3136,Shipped,25,86.92,2173.0,spain,10103-13,MA302151,2004-11-28,34638.14
10103,14,121,1504,S18_2957,Shipped,35,61.84,2164.4,spain,10103-14,DB889831,2003-02-16,50218.95
10103,14,121,1504,S18_2957,Shipped,35,61.84,2164.4,spain,10103-14,FD317790,2003-10-28,1491.38
10103,14,121,1504,S18_2957,Shipped,35,61.84,2164.4,spain,10103-14,KI831359,2004-11-04,17876.32
10103,14,121,1504,S18_2957,Shipped,35,61.84,2164.4,spain,10103-14,MA302151,2004-11-28,34638.14
10103,15,121,1504,S24_4258,Shipped,25,88.62,2215.5,spain,10103-15,DB889831,2003-02-16,50218.95
10103,15,121,1504,S24_4258,Shipped,25,88.62,2215.5,spain,10103-15,FD317790,2003-10-28,1491.38
10103,15,121,1504,S24_4258,Shipped,25,88.62,2215.5,spain,10103-15,KI831359,2004-11-04,17876.32
10103,15,121,1504,S24_4258,Shipped,25,88.62,2215.5,spain,10103-15,MA302151,2004-11-28,34638.14
10103,16,121,1504,S18_3320,Shipped,46,86.31,3970.26,spain,10103-16,DB889831,2003-02-16,50218.95
10103,16,121,1504,S18_3320,Shipped,46,86.31,3970.26,spain,10103-16,FD317790,2003-10-28,1491.38
10103,16,121,1504,S18_3320,Shipped,46,86.31,3970.26,spain,10103-16,KI831359,2004-11-04,17876.32
10103,16,121,1504,S18_3320,Shipped,46,86.31,3970.26,spain,10103-16,MA302151,2004-11-28,34638.14
10104,1,141,1370,S12_3148,Shipped,34,131.44,4468.96,spain,10104-1,AU364101,2003-07-19,36251.03
10104,1,141,1370,S12_3148,Shipped,34,131.44,4468.96,spain,10104-1,DB583216,2004-11-01,36140.38
10104,1,141,1370,S12_3148,Shipped,34,131.44,4468.96,spain,10104-1,DL460618,2005-05-19,46895.48
10104,1,141,1370,S12_3148,Shipped,34,131.44,4468.96,spain,10104-1,HJ32686,2004-01-30,59830.55
